j5	j3	count	startpos	productsize	JS	deletion size	chorm	type	name	start	end	evtype	evrelorf	evsize	startpos_byfusion
72	28883	677	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	651	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	492	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	490	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	331	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	310	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	310	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	264	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	264	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	211	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	201	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	182	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	173	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	153	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	136	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	115	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	88	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	81	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	76	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	67	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	65	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	60	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	58	28900	210	72 - 28883	28811						N-term trunc	N	209
69	15776	56	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
72	28883	52	28900	210	72 - 28883	28811						N-term trunc	N	209
69	15776	49	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
72	28883	48	28900	210	72 - 28883	28811						N-term trunc	N	209
69	15776	45	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
69	15776	44	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
69	15776	43	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
72	28883	43	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	39	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	38	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	37	28900	210	72 - 28883	28811						N-term trunc	N	209
69	15776	36	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
71	22501	35	22613	36	71 - 22501	22430						frameshift,mid	S	36
72	28883	29	28900	210	72 - 28883	28811						N-term trunc	N	209
47	13669	25	13684	24	47 - 13669	13622						frameshift,mid	ORF1b	24
71	22501	22	22613	36	71 - 22501	22430						frameshift,mid	S	36
71	22501	21	22613	36	71 - 22501	22430						frameshift,mid	S	36
69	28282	20	28283	97	69 - 28282	28213						frameshift,mid	N	97
72	28883	20	28900	210	72 - 28883	28811						N-term trunc	N	209
72	28883	19	28900	210	72 - 28883	28811						N-term trunc	N	209
71	22501	19	22613	36	71 - 22501	22430						frameshift,mid	S	36
72	28883	17	28900	210	72 - 28883	28811						N-term trunc	N	209
71	20315	16	20329	8	71 - 20315	20244						frameshift,mid	ORF1b	8
68	22502	16	22613	36	68 - 22502	22434						frameshift,mid	S	36
70	3815	16	3841	3213	70 - 3815	3745						N-term trunc	ORF1a	1192
69	15776	15	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
71	22501	15	22613	36	71 - 22501	22430						frameshift,mid	S	36
69	15776	15	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
69	15776	15	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
72	27761	14	27824	20	72 - 27761	27689						N-term trunc	ORF7b	23
70	5591	14	5591	21	70 - 5591	5521						frameshift,mid	ORF1a	21
72	28883	14	28900	210	72 - 28883	28811						N-term trunc	N	209
69	15776	14	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
72	28883	14	28900	210	72 - 28883	28811						N-term trunc	N	209
69	15776	14	15811	28	69 - 15776	15707						frameshift,mid	ORF1b	28
70	3815	13	3841	3213	70 - 3815	3745						N-term trunc	ORF1a	1192
72	28883	13	28900	210	72 - 28883	28811						N-term trunc	N	209
72	27761	12	27824	20	72 - 27761	27689						N-term trunc	ORF7b	23
75	21057	12	21070	23	75 - 21057	20982						frameshift,mid	ORF1b	23
69	28282	11	28283	97	69 - 28282	28213						frameshift,mid	N	97
